t,z_m,v_m,eds
0.0,0.025,0.0,0
0.01001001001001001,-0.467970011180783,-98.49484616172649,0
0.02002002002002002,-1.946854511213141,-196.9853888668082,0
0.03003003003003003,-4.411601734800271,-295.4700164099094,0
0.04004004004004004,-7.862145010372439,-393.94723223724486,0
0.050050050050050046,-12.298403180064538,-492.41558252364155,0
0.06006006006006006,-17.720280599716105,-590.873656172539,0
0.07007007007007007,-24.127667179556305,-689.3200846627909,0
0.08008008008008008,-31.520440068338754,-787.7535106778981,0
0.09009009009009009,-39.89846135003279,-886.1725581324132,0
0.10010010010010009,-49.26157976848127,-984.5758995995227,0
0.11011011011011011,-59.60963209978803,-1082.9622656687193,0
0.12012012012012012,-70.94244315231792,-1181.3304449458005,0
0.13013013013013014,-83.25982576669686,-1279.6792840528708,0
0.14014014014014015,-96.56158081581171,-1378.00768762834,0
0.15015015015015015,-110.84749725263923,-1476.3146186251092,0
0.16016016016016016,-126.11735562561103,-1574.5991241834179,0
0.17017017017017017,-142.37092646365434,-1672.8603322357908,0
0.18018018018018017,-159.60797193296173,-1771.0974496554727,0
0.19019019019019018,-177.8282479890542,-1869.3097731111843,0
0.20020020020020018,-197.03150437678104,-1967.496689067124,0
0.21021021021021022,-217.21748463032026,-2065.6576737829673,0
0.22022022022022023,-238.38592607317787,-2163.792293313865,0
0.23023023023023023,-260.53656215509415,-2261.90020722202,0
0.24024024024024024,-283.6691246424243,-2359.9811765716818,0
0.2502502502502503,-307.78334198556354,-2458.0350581942344,0
0.2602602602602603,-332.8789432300057,-2556.0618066985985,0
0.2702702702702703,-358.9556580763548,-2654.061474534687,0
0.2802802802802803,-386.0132168803249,-2752.034211993405,0
0.2902902902902903,-414.0513506527402,-2849.980267206649,0
0.3003003003003003,-443.06979265246554,-2947.899983851408,0
0.3103103103103103,-473.06828204972334,-3045.793801307631,0
0.3203203203203203,-504.04656108700044,-3143.6622574153316,0
0.3303303303303303,-536.0043791923379,-3241.5059762478386,0
0.34034034034034033,-568.9414932212335,-3339.3256675914595,0
0.35035035035035034,-602.857667456642,-3437.1221269454772,0
0.36036036036036034,-637.7526736089748,-3534.8962355221506,0
0.37037037037037035,-673.6262911560366,-3632.6489583482144,0
0.38038038038038036,-710.478311712576,-3730.3813264362657,0
0.39039039039039036,-748.3085364683413,-3828.09445737958,0
0.40040040040040037,-787.1167784576056,-3925.7895302919933,0
0.41041041041041043,-826.9028635701858,-4023.467778659601,0
0.42042042042042044,-867.6666305514418,-4121.130490340754,0
0.43043043043043044,-909.4079310022784,-4218.779007566062,0
0.44044044044044045,-952.1266293791431,-4316.414726938396,0
0.45045045045045046,-995.8226035206153,-4414.039091109565,0
0.46046046046046046,-1040.4957476323918,-4511.653562592456,0
0.47047047047047047,-1086.1459702812404,-4609.259659995394,0
0.4804804804804805,-1132.7731952834215,-4706.85891449366,0
0.4904904904904905,-1180.3773619270878,-4804.452864636927,0
0.5005005005005005,-1228.9584249722843,-4902.043056349255,0
0.5105105105105106,-1278.5163546509486,-4999.6310429290925,0
0.5205205205205206,-1329.0511366669102,-5097.218385049283,0
0.5305305305305306,-1380.5627721934484,-5194.80665065696,0
0.5405405405405406,-1433.051277540183,-5292.397378884429,0
0.5505505505505506,-1486.51668584632,-5389.992095290834,0
0.5605605605605606,-1540.9590453843555,-5487.592310505248,0
0.5705705705705706,-1596.3784184103167,-5585.199491705667,0
0.5805805805805806,-1652.7748811637607,-5682.815062619012,0
0.5905905905905906,-1710.148523867774,-5780.440403521129,0
0.6006006006006006,-1768.4994507289737,-5878.076851236787,0
0.6106106106106106,-1827.8277799375069,-5975.725699139681,0
0.6206206206206206,-1888.1336427205174,-6073.388189656158,0
0.6306306306306306,-1949.4171802840463,-6171.065480896794,0
0.6406406406406406,-2011.6785484802213,-6268.758682257094,0
0.6506506506506506,-2074.917912357274,-6366.468825355803,0
0.6606606606606606,-2139.1354454603197,-6464.196859340504,0
0.6706706706706707,-2204.3313298313583,-6561.943650887616,0
0.6806806806806807,-2270.5057560092732,-6659.709984202404,0
0.6906906906906907,-2337.6589230298323,-6757.496561018963,0
0.7007007007007007,-2405.7910384256884,-6855.304000600237,0
0.7107107107107107,-2474.902315038914,-6953.132831626422,0
0.7207207207207207,-2544.992967986366,-7050.983478063918,0
0.7307307307307307,-2616.063218984516,-7148.856274183367,0
0.7407407407407407,-2688.11329075311,-7246.751456647479,0
0.7507507507507507,-2761.1434068861945,-7344.669164250727,0
0.7607607607607607,-2835.1537918521153,-7442.609437919339,0
0.7707707707707707,-2910.1446709935176,-7540.572220711304,0
0.7807807807807807,-2986.1162705273464,-7638.557357816369,0
0.7907907907907907,-3063.068813933082,-7736.564598907491,0
0.8008008008008007,-3141.0025201961234,-7834.593593073002,0
0.8108108108108109,-3219.9176058575586,-7932.643892981644,0
0.8208208208208209,-3299.814281072237,-8030.714962292574,0
0.8308308308308309,-3380.6927495957984,-8128.806175671172,0
0.8408408408408409,-3462.5532087846664,-8226.916818789043,0
0.8508508508508509,-3545.3958495960505,-8325.046088324008,0
0.8608608608608609,-3629.2208556977193,-8423.193095679535,0
0.8708708708708709,-3714.028399131554,-8521.356879092122,0
0.8808808808808809,-3799.818643291291,-8619.536391115234,0
0.8908908908908909,-3886.591740012422,-8717.73052016299,0
0.9009009009009009,-3974.347829127967,-8815.938092878103,0
0.9109109109109109,-4063.087038468475,-8914.157874131899,0
0.9209209209209209,-4152.809483862023,-9012.388567024303,0
0.9309309309309309,-4243.515268870757,-9110.62881582684,0
0.9409409409409409,-4335.204481929775,-9208.87722890537,0
0.950950950950951,-4427.87719764147,-9307.132359132253,0
0.960960960960961,-4521.533475897445,-9405.392730920066,0
0.970970970970971,-4616.173361462371,-9503.656846541353,0
0.980980980980981,-4711.796883973989,-9601.92318612861,0
0.990990990990991,-4808.404057943106,-9700.190207674294,0
1.001001001001001,-4905.994882754544,-9798.456347484118,0
1.011011011011011,-5004.569342214221,-9896.720049250316,0
1.021021021021021,-5104.127403441047,-9994.979743910506,0
1.031031031031031,-5204.669018159701,-10093.233867693985,0
1.0410410410410411,-5306.194123032467,-10191.480881758143,0
1.0510510510510511,-5408.7026396592355,-10289.719272188462,0
1.0610610610610611,-5512.194474577504,-10387.947549998513,0
1.0710710710710711,-5616.669519262374,-10486.164251129958,0
1.0810810810810811,-5722.127650126555,-10584.367936452572,0
1.0910910910910911,-5828.568730006586,-10682.557215675442,0
1.1011011011011012,-5935.99260764923,-10780.73075157449,0
1.1111111111111112,-6044.399118359879,-10878.88725299754,0
1.1211211211211212,-6153.788085865489,-10977.025494894253,0
1.1311311311311312,-6264.159322314578,-11075.144318316135,0
1.1411411411411412,-6375.512628277231,-11173.242630416527,0
1.1511511511511512,-6487.847792745097,-11271.319404450616,0
1.1611611611611612,-6601.16459463035,-11369.373687168689,0
1.1711711711711712,-6715.462804696381,-11467.404612845863,0
1.1811811811811812,-6830.742184008814,-11565.411393041963,0
1.1911911911911912,-6947.002487667482,-11663.393329961873,0
1.2012012012012012,-7064.243464927597,-11761.349816969432,0
1.2112112112112112,-7182.464859199756,-11859.280338587432,0
1.2212212212212212,-7301.66640804993,-11957.184470497621,0
1.2312312312312312,-7421.847844151492,-12055.061880690308,0
1.2412412412412412,-7543.008899532818,-12152.912338113843,0
1.2512512512512513,-7665.14930245636,-12250.735709324947,0
1.2612612612612613,-7788.26878165694,-12348.531958263666,0
1.2712712712712713,-7912.367066908517,-12446.301146631087,0
1.2812812812812813,-8037.443889024192,-12544.043433889337,0
1.2912912912912913,-8163.498979856204,-12641.75907726158,0
1.3013013013013013,-8290.532072803633,-12739.448430808565,0
1.3113113113113113,-8418.542907565805,-12837.111940947436,0
1.3213213213213213,-8547.531227117117,-12934.750154956779,0
1.3313313313313313,-8677.496781193466,-13032.3637071963,0
1.3413413413413413,-8808.43932730538,-13129.953316507503,0
1.3513513513513513,-8940.358630738014,-13227.519786213676,0
1.3613613613613613,-9073.254464551155,-13325.064004119908,0
1.3713713713713713,-9207.126609583222,-13422.586942487551,0
1.3813813813813813,-9341.974857675545,-13520.089641790635,0
1.3913913913913913,-9477.79901190224,-13617.57322133435,0
1.4014014014014013,-9614.598886177442,-13715.038870413366,0
1.4114114114114114,-9752.374307503194,-13812.487830453074,0
1.4214214214214214,-9891.125115969446,-13909.921395009593,0
1.4314314314314314,-10030.851164754054,-14007.340909769762,0
1.4414414414414414,-10171.552320122784,-14104.747772551153,0
1.4514514514514514,-10313.228461493702,-14202.143432034487,0
1.4614614614614614,-10455.879483980973,-14299.52935382056,0
1.4714714714714714,-10599.505298040805,-14396.907053668438,0
1.4814814814814814,-10744.105829033291,-14494.2780702467,0
1.4914914914914914,-10889.681017821229,-14591.643946692244,0
1.5015015015015014,-11036.230820770117,-14689.006230610275,0
1.5115115115115114,-11183.755209748158,-14786.366474074319,0
1.5215215215215214,-11332.254172126257,-14883.72623362621,0
1.5315315315315314,-11481.727710778021,-14981.0870702761,0
1.5415415415415414,-11632.175843823692,-15078.45053590583,0
1.5515515515515514,-11783.598605169609,-15175.81814106365,0
1.5615615615615615,-11935.996044978087,-15273.19139598274,0
1.5715715715715715,-12089.36822731801,-15370.571768392881,0
1.5815815815815815,-12243.715230045635,-15467.960680096025,0
1.5915915915915915,-12399.037144804606,-15565.359506966292,0
1.6016016016016015,-12555.334077025951,-15662.769578949972,0
1.6116116116116117,-12712.606145928075,-15760.19218006553,0
1.6216216216216217,-12870.853484328942,-15857.628547070615,0
1.6316316316316317,-13030.076234636135,-15955.079835340264,0
1.6416416416416417,-13190.27455325767,-16052.547142410853,0
1.6516516516516517,-13351.448606898948,-16150.031494918938,0
1.6616616616616617,-13513.598570443235,-16247.533835766748,0
1.6716716716716717,-13676.724626951664,-16345.055024122183,0
1.6816816816816818,-13840.826967663234,-16442.59583541881,0
1.6916916916916918,-14005.905791994803,-16540.15696135588,0
1.7017017017017018,-14171.9613075411,-16637.739009898294,0
1.7117117117117118,-14338.993728665662,-16735.342502108822,0
1.7217217217217218,-14507.003270512203,-16832.96785360396,0
1.7317317317317318,-14675.990155147092,-16930.615388030477,0
1.7417417417417418,-14845.954605993104,-17028.285332489686,0
1.7517517517517518,-15016.896847004415,-17125.977816134524,0
1.7617617617617618,-15188.817102666611,-17223.692870169565,0
1.7717717717717718,-15361.715597996686,-17321.430427850995,0
1.7817817817817818,-15535.592558543036,-17419.190324486633,0
1.7917917917917918,-15710.44820847096,-17516.972299150537,0
1.8018018018018018,-15886.282765934508,-17614.775993434345,0
1.8118118118118118,-16063.096447252772,-17712.600949556596,0
1.8218218218218218,-16240.889462354942,-17810.446621149775,0
1.8318318318318318,-16419.662014480058,-17908.312373716053,0
1.8418418418418419,-16599.41430017703,-18006.19748462727,0
1.8518518518518519,-16780.14650930462,-18104.101143124954,0
1.8618618618618619,-16961.85882471593,-18202.022451767745,0
1.8718718718718719,-17144.551417837356,-18299.960441774747,0
1.8818818818818819,-17328.22445086092,-18397.914058931245,0
1.8918918918918919,-17512.87807476531,-18495.882183028032,0
1.901901901901902,-17698.512428330872,-18593.863633619778,0
1.911911911911912,-17885.12763813959,-18691.857170025003,0
1.921921921921922,-18072.723818575098,-18789.86149132612,0
1.931931931931932,-18261.301071767717,-18887.875237056778,0
1.941941941941942,-18450.859485164663,-18985.897010168992,0
1.951951951951952,-18641.399131787697,-19083.925362018887,0
1.961961961961962,-18832.92007018648,-19181.958811260283,0
1.971971971971972,-19025.42234371277,-19279.99585636737,0
1.981981981981982,-19218.905980520467,-19378.034975634728,0
1.991991991991992,-19413.37099356558,-19476.074627177288,0
2.002002002002002,-19608.817380606248,-19574.113248930385,0
2.012012012012012,-19805.245124064724,-19672.149278240755,0
2.022022022022022,-20002.654189731962,-19770.18115445821,0
2.032032032032032,-20201.044527662583,-19868.207311107024,0
2.042042042042042,-20400.41607293871,-19966.226208573447,0
2.052052052052052,-20600.768745672016,-20064.23633432317,0
2.062062062062062,-20802.102451003724,-20162.23620290134,0
2.0720720720720722,-21004.417079104624,-20260.224355932547,0
2.0820820820820822,-21207.712505175055,-20358.19936212083,0
2.0920920920920922,-21411.988590381246,-20456.159829651326,0
2.1021021021021022,-21617.245182847,-20554.10443191476,0
2.1121121121121122,-21823.482115924493,-20652.031879074926,0
2.1221221221221223,-22030.6992117385,-20749.940948922107,0
2.1321321321321323,-22238.896281360998,-20847.830488761112,0
2.1421421421421423,-22448.073124811162,-20945.69941541127,0
2.1521521521521523,-22658.22953105538,-21043.54671520642,0
2.1621621621621623,-22869.36527800723,-21141.371443994936,0
2.1721721721721723,-23081.48013415303,-21239.172734347132,0
2.1821821821821823,-23294.573861701858,-21336.949814097068,0
2.1921921921921923,-23508.646213618034,-21434.701990826507,0
2.2022022022022023,-23723.6969378548,-21532.42866479256,0
2.2122122122122123,-23939.72577757835,-21630.129329779564,0
2.2222222222222223,-24156.73247116788,-21727.8035730991,0
2.2322322322322323,-24374.71675221555,-21825.45107558997,0
2.2422422422422423,-24593.6783503359,-21923.071612196396,0
2.2522522522522523,-24813.61699566228,-22020.66505866344,0
2.2622622622622623,-25034.53241564871,-22118.23139023728,0
2.2722722722722724,-25256.424339212404,-22215.770679018293,0
2.2822822822822824,-25479.29249743478,-22313.283094073548,0
2.2922922922922924,-25703.136623561473,-22410.768901436833,0
2.3023023023023024,-25927.956453002334,-22508.228464108648,0
2.3123123123123124,-26153.751723683024,-22605.66224121754,0
2.3223223223223224,-26380.52218076828,-22703.070780900274,0
2.3323323323323324,-26608.267573931582,-22800.454730967547,0
2.3423423423423424,-26836.987660369203,-22897.814823706834,0
2.3523523523523524,-27066.682206040026,-22995.151871914117,0
2.3623623623623624,-27297.35098566557,-23092.466768893897,0
2.3723723723723724,-27528.993782729976,-23189.760488459175,0
2.3823823823823824,-27761.61038948001,-23287.03408493146,0
2.3923923923923924,-27995.200609277417,-23384.288678940207,0
2.4024024024024024,-28229.76425830973,-23481.525459500474,0
2.4124124124124124,-28465.3011638577,-23578.74568612458,0
2.4224224224224224,-28701.81116689986,-23675.95066377462,0
2.4324324324324325,-28939.294122128355,-23773.141742740987,0
2.4424424424424425,-29177.749897948936,-23870.320318642378,0
